Day,Problem Number,Problem Name,LeetCode Link,Difficulty,Topic,Subtopic,Pattern,Companies,Hint,Completed,Notes
1,1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,Arrays,Basic,Hash Map,Google|Meta|Amazon|Apple,Use a hash map to store values seen so far,FALSE,
1,27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,Arrays,In-Place,Two Pointers,Amazon|Microsoft,Two pointers: one for iteration one for placement,FALSE,
1,26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,Arrays,In-Place,Two Pointers,Microsoft|Google,Two pointers with index tracking,FALSE,
1,217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,Arrays,Basic,Hash Map,Amazon|Google,Check if duplicate exists using set,FALSE,
1,88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,Arrays,Merging,Two Pointers,Amazon|Microsoft,Work backwards to avoid overwriting,FALSE,
1,121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,Arrays,Tracking,One Pass,Google|Meta|Apple,Track min price and max profit in single pass,FALSE,
1,169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,Arrays,Counting,Boyer-Moore Voting,Meta|Amazon,Boyer-Moore voting algorithm,FALSE,
2,35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,Binary Search,Basic,Binary Search,Google|Microsoft,Standard binary search with edge cases,FALSE,
2,374,Guess Number Higher or Lower,https://leetcode.com/problems/guess-number-higher-or-lower/,Easy,Binary Search,Basic,Binary Search,Meta|Amazon,Classic binary search game,FALSE,
2,704,Binary Search,https://leetcode.com/problems/binary-search/,Easy,Binary Search,Basic,Binary Search,Google|Apple,Standard binary search template,FALSE,
2,278,First Bad Version,https://leetcode.com/problems/first-bad-version/,Easy,Binary Search,Search,Binary Search,Apple|Amazon,Find first occurrence using binary search,FALSE,
2,387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,Easy,Strings,Hash Map,Hash Map,Amazon|Google,Use hash map to count frequencies,FALSE,
2,344,Reverse String,https://leetcode.com/problems/reverse-string/,Easy,Strings,In-Place,Two Pointers,Microsoft|Apple,Two pointer reversal,FALSE,
2,242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,Strings,Comparison,Hash Map,Amazon|Google,Check character frequency match,FALSE,
2,125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,Strings,Validation,Two Pointers,Meta|Microsoft,Two pointers from both ends,FALSE,
3,20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,Stack,Basic,Stack,Google|Meta|Amazon,Use stack to match opening and closing,FALSE,
3,232,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,Queue,Implementation,Stack Based,Microsoft|Apple,Use two stacks for queue simulation,FALSE,
3,225,Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,Easy,Stack,Implementation,Queue Based,Amazon|Google,Use queue to simulate stack behavior,FALSE,
3,155,Min Stack,https://leetcode.com/problems/min-stack/,Easy,Stack,Design,Stack,Google|Meta|Amazon,Track minimum with auxiliary stack,FALSE,
